Date_AEM,levfac,year,Quarter,date
196801,-0.6629,1968,1,1968Q1
196802,1.8512,1968,2,1968Q2
196803,13.3859,1968,3,1968Q3
196804,-6.3279,1968,4,1968Q4
196901,-9.6066,1969,1,1969Q1
196902,6.399,1969,2,1969Q2
196903,-7.5211,1969,3,1969Q3
196904,15.3801,1969,4,1969Q4
197001,9.2616,1970,1,1970Q1
197002,-4.0271,1970,2,1970Q2
197003,19.8744,1970,3,1970Q3
197004,11.8794,1970,4,1970Q4
197101,4.5441,1971,1,1971Q1
197102,-7.9961,1971,2,1971Q2
197103,-1.5688,1971,3,1971Q3
197104,9.0065,1971,4,1971Q4
197201,-0.5036,1972,1,1972Q1
197202,-1.2492,1972,2,1972Q2
197203,3.5581,1972,3,1972Q3
197204,12.2443,1972,4,1972Q4
197301,-22.1639,1973,1,1973Q1
197302,-15.1849,1973,2,1973Q2
197303,-12.8694,1973,3,1973Q3
197304,-1.8219,1973,4,1973Q4
197401,-10.6005,1974,1,1974Q1
197402,3.6294,1974,2,1974Q2
197403,-0.9294,1974,3,1974Q3
197404,-7.0433,1974,4,1974Q4
197501,8.56,1975,1,1975Q1
197502,2.364,1975,2,1975Q2
197503,-5.9064,1975,3,1975Q3
197504,6.7122,1975,4,1975Q4
197601,35.9422,1976,1,1976Q1
197602,7.6959,1976,2,1976Q2
197603,21.0627,1976,3,1976Q3
197604,2.8112,1976,4,1976Q4
197701,-0.166,1977,1,1977Q1
197702,10.3334,1977,2,1977Q2
197703,-2.9595,1977,3,1977Q3
197704,3.9264,1977,4,1977Q4
197801,17.0113,1978,1,1978Q1
197802,4.834,1978,2,1978Q2
197803,2.4597,1978,3,1978Q3
197804,-15.3241,1978,4,1978Q4
197901,7.8729,1979,1,1979Q1
197902,24.1876,1979,2,1979Q2
197903,-1.2603,1979,3,1979Q3
197904,-23.9861,1979,4,1979Q4
198001,24.1984,1980,1,1980Q1
198002,-3.0158,1980,2,1980Q2
198003,11.6581,1980,3,1980Q3
198004,-27.5435,1980,4,1980Q4
198101,23.6713,1981,1,1981Q1
198102,-5.9814,1981,2,1981Q2
198103,-1.7595,1981,3,1981Q3
198104,8.9834,1981,4,1981Q4
198201,9.6647,1982,1,1982Q1
198202,0.0304,1982,2,1982Q2
198203,3.8885,1982,3,1982Q3
198204,14.7743,1982,4,1982Q4
198301,-11.7277,1983,1,1983Q1
198302,2.5487,1983,2,1983Q2
198303,7.891,1983,3,1983Q3
198304,-2.1665,1983,4,1983Q4
198401,3.2559,1984,1,1984Q1
198402,-3.2502,1984,2,1984Q2
198403,13.3506,1984,3,1984Q3
198404,23.0279,1984,4,1984Q4
198501,-19.4071,1985,1,1985Q1
198502,10.7053,1985,2,1985Q2
198503,-0.2938,1985,3,1985Q3
198504,8.8543,1985,4,1985Q4
198601,12.6772,1986,1,1986Q1
198602,-6.3483,1986,2,1986Q2
198603,-6.748,1986,3,1986Q3
198604,-6.5832,1986,4,1986Q4
198701,1.1142,1987,1,1987Q1
198702,-2.6693,1987,2,1987Q2
198703,1.3557,1987,3,1987Q3
198704,-33.4191,1987,4,1987Q4
198801,12.8812,1988,1,1988Q1
198802,-9.4435,1988,2,1988Q2
198803,3.2587,1988,3,1988Q3
198804,-2.4615,1988,4,1988Q4
198901,14.4953,1989,1,1989Q1
198902,26.8092,1989,2,1989Q2
198903,-1.1524,1989,3,1989Q3
198904,26.4975,1989,4,1989Q4
199001,-0.2433,1990,1,1990Q1
199002,-0.5813,1990,2,1990Q2
199003,6.5486,1990,3,1990Q3
199004,12.8321,1990,4,1990Q4
199101,4.2417,1991,1,1991Q1
199102,7.6165,1991,2,1991Q2
199103,14.9952,1991,3,1991Q3
199104,-1.9547,1991,4,1991Q4
199201,2.7868,1992,1,1992Q1
199202,-1.5409,1992,2,1992Q2
199203,14.9043,1992,3,1992Q3
199204,-16.5824,1992,4,1992Q4
199301,26.9504,1993,1,1993Q1
199302,20.0101,1993,2,1993Q2
199303,3.6037,1993,3,1993Q3
199304,21.3066,1993,4,1993Q4
199401,6.1528,1994,1,1994Q1
199402,6.3607,1994,2,1994Q2
199403,3.4352,1994,3,1994Q3
199404,-51.7603,1994,4,1994Q4
199501,7.8252,1995,1,1995Q1
199502,4.5299,1995,2,1995Q2
199503,1.0249,1995,3,1995Q3
199504,9.1596,1995,4,1995Q4
199601,4.6933,1996,1,1996Q1
199602,0.6284,1996,2,1996Q2
199603,2.9904,1996,3,1996Q3
199604,3.4066,1996,4,1996Q4
199701,4.8855,1997,1,1997Q1
199702,6.4663,1997,2,1997Q2
199703,-3.4301,1997,3,1997Q3
199704,6.6126,1997,4,1997Q4
199801,8.7812,1998,1,1998Q1
199802,-5.6645,1998,2,1998Q2
199803,11.7257,1998,3,1998Q3
199804,-15.5122,1998,4,1998Q4
199901,1.2844,1999,1,1999Q1
199902,-10.6747,1999,2,1999Q2
199903,1.0112,1999,3,1999Q3
199904,5.5187,1999,4,1999Q4
200001,5.8399,2000,1,2000Q1
200002,-2.1326,2000,2,2000Q2
200003,4.8432,2000,3,2000Q3
200004,24.0364,2000,4,2000Q4
200101,4.496,2001,1,2001Q1
200102,8.5219,2001,2,2001Q2
200103,12.2658,2001,3,2001Q3
200104,-18.7175,2001,4,2001Q4
200201,-0.6476,2002,1,2002Q1
200202,-1.3921,2002,2,2002Q2
200203,-1.8787,2002,3,2002Q3
200204,-45.4146,2002,4,2002Q4
200301,9.539,2003,1,2003Q1
200302,1.445,2003,2,2003Q2
200303,-2.3583,2003,3,2003Q3
200304,-2.5781,2003,4,2003Q4
200401,11.6075,2004,1,2004Q1
200402,-3.3308,2004,2,2004Q2
200403,3.5043,2004,3,2004Q3
200404,11.7393,2004,4,2004Q4
200501,9.8128,2005,1,2005Q1
200502,1.7066,2005,2,2005Q2
200503,-0.5373,2005,3,2005Q3
200504,-5.7161,2005,4,2005Q4
200601,-1.194,2006,1,2006Q1
200602,1.9529,2006,2,2006Q2
200603,3.5624,2006,3,2006Q3
200604,24.2755,2006,4,2006Q4
200701,4.7418,2007,1,2007Q1
200702,1.9538,2007,2,2007Q2
200703,5.2844,2007,3,2007Q3
200704,9.8279,2007,4,2007Q4
200801,26.0233,2008,1,2008Q1
200802,-7.3286,2008,2,2008Q2
200803,33.9106,2008,3,2008Q3
200804,-59.9883,2008,4,2008Q4
200901,-15.8268,2009,1,2009Q1
200902,-28.5809,2009,2,2009Q2
200903,-6.3022,2009,3,2009Q3
200904,-4.8888,2009,4,2009Q4
